Relation	Sentence	NER1	NER2
director	<e1>Roma</e1> won four awards, including Best Film and Best Director for <e2>Alfonso Cuarón</e2>.	WORK_OF_ART	PERSON
director	<e1>Stolen Holiday</e1> is a 1937 film directed by <e2>Michael Curtiz</e2> and starring Kay Francis, Claude Rains and Ian Hunter.	WORK_OF_ART	PERSON
director	He became well-known after starring in <e2>Jackie Chan</e2>'s action film "<e1>Police Story</e1>" as Superintendent Raymond Li, alongside Bill Tung, Maggie Cheung, Brigitte Lin and Chan himself.	WORK_OF_ART	PERSON
director	Deni was featured in the <e2>Jonathan Demme</e2> movie "<e1>Storefront Hitchcock</e1>" performing alongside Robyn Hitchcock.	WORK_OF_ART	PERSON
director	<e1>Two Daughters of Eve</e1> is a 1912 American silent drama film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	<e1>Ronny</e1> is a 1931 German musical comedy film directed by <e2>Reinhold Schünzel</e2> and starring Käthe von Nagy, Willy Fritsch, and Hans Wassmann.	WORK_OF_ART	PERSON
director	<e1>The Cricket on the Hearth</e1> is a 1909 silent short film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	In 1940 he co-wrote "<e1>The Westerner</e1>" for director <e2>William Wyler</e2> and producer Samuel Goldwyn.	WORK_OF_ART	PERSON
director	<e1>Bulldog Drummond's Revenge</e1> is a 1937 American adventure mystery film directed by <e2>Louis King</e2>, produced by Stuart Walker, written by Edward T. Lowe Jr. and Herman C. McNeile (novel), and featuring John Barrymore.	WORK_OF_ART	PERSON
director	In 2015 Gilbreath filmed the <e2>Justin Chadwick</e2>-directed "<e1>Tulip Fever</e1>", with Alicia Vikander and Christoph Waltz, and appeared as Georgina Francis in the BBC TV series "Father Brown" episode "The Time Machine".	WORK_OF_ART	PERSON
director	She made her German film debut in 1929 in "<e1>Father and Son</e1>", directed by <e2>Géza von Bolváry</e2>.	WORK_OF_ART	PERSON
director	Villa Noailles features prominently in <e2>Man Ray</e2>'s film "<e1>Les Mystères du Château de Dé</e1>".	WORK_OF_ART	PERSON
director	<e1>Indiana Jones and the Kingdom of the Crystal Skull</e1> is a 2008 American action-adventure film directed by <e2>Steven Spielberg</e2> and the fourth installment in the "Indiana Jones" series.	WORK_OF_ART	PERSON
director	The website's critical consensus reads, "With strong performances and director <e2>David Lynch</e2> at the helm, "<e1>The Straight Story</e1>" steers past sentimental byways on its ambling journey across the American heartland."	WORK_OF_ART	PERSON
director	The "Prefaces to Shakespeare" episode for "<e1>King Lear</e1>" was presented by Tony Church who had played the Fool in a 1962 RSC production directed by <e2>Peter Brook</e2>.	WORK_OF_ART	PERSON
director	It was followed by the critically acclaimed "<e1>Thanga Meenkal</e1>" by <e2>Ram</e2>.	WORK_OF_ART	PERSON
director	<e1>Death's Marathon</e1> is a 1913 silent film short directed by <e2>D. W. Griffith</e2> and distributed by Biograph.	WORK_OF_ART	PERSON
director	<e1>Winter Night's Dream</e1> () is a 1935 German romantic comedy film directed by <e2>Géza von Bolváry</e2> and starring Magda Schneider, Wolf Albach-Retty, and Richard Romanowsky.	WORK_OF_ART	PERSON
director	Darius worked on three European-shot films by <e2>Woody Allen</e2>: "Midnight in Paris" (2011), "To Rome with Love" (2012) and "<e1>Magic in the Moonlight</e1>" (2014).	WORK_OF_ART	PERSON
director	In 1938, <e2>Sergei Eisenstein</e2> made one of his most acclaimed films, "<e1>Alexander Nevsky</e1>", on Alexander's victory over the Teutonic Knights.	WORK_OF_ART	PERSON
director	<e1>Black Fury</e1> is a 1935 American crime film directed by <e2>Michael Curtiz</e2> and starring Paul Muni, Karen Morley, and William Gargan.	WORK_OF_ART	PERSON
director	<e1>The Yaqui Cur</e1> is a 1913 American western silent black and white film directed by <e2>D. W. Griffith</e2>, written by Stanner E.V. Taylor and starring Robert Harron, Kate Bruce, Walter Miller, Charles Hill Mailes and Victoria Forde.	WORK_OF_ART	PERSON
director	A 1909 film by <e2>D. W. Griffith</e2> titled "<e1>A Trap for Santa Claus</e1>" shows children setting a trap to capture Santa Claus as he descends the chimney, but instead capture their father who abandoned them and their mother but tries to burglarize the house after he discovers that she inherited a fortune.	WORK_OF_ART	PERSON
director	<e1>Fort Apache</e1> is a 1948 American western film directed by <e2>John Ford</e2> and starring John Wayne and Henry Fonda.	WORK_OF_ART	PERSON
director	<e2>Frank Lloyd</e2> was nominated at the 2nd Academy Awards for Academy Award for Best Director along with the film "<e1>Weary River</e1>".	WORK_OF_ART	PERSON
director	It was for this reason he was sacked from <e2>Barbra Streisand</e2>'s film "<e1>The Mirror Has Two Faces</e1>".	WORK_OF_ART	PERSON
director	Honda had also worked as an assistant director on <e2>Senkichi Taniguchi</e2>'s "<e1>Escape at Dawn</e1>".	WORK_OF_ART	PERSON
director	<e1>Swimming to Cambodia</e1>, also known as Spalding Gray's Swimming to Cambodia, is a 1987 American concert film written by and starring Spalding Gray, and directed by <e2>Jonathan Demme</e2>.	WORK_OF_ART	PERSON
director	<e1>Human Desire</e1> is a 1954 black-and-white film noir directed by <e2>Fritz Lang</e2> and starring Glenn Ford, Gloria Grahame and Broderick Crawford.	WORK_OF_ART	PERSON
director	Seaton and Perlberg "<e1>The Bridges at Toko-Ri</e1>" (1954), directed by <e2>Mark Robson</e2>, with Holden and Kelly.	WORK_OF_ART	PERSON
director	<e1>Rio Grande</e1> is a 1950 Western film directed by <e2>John Ford</e2> and starring John Wayne and Maureen O'Hara.	WORK_OF_ART	PERSON
director	In 1962, Miles reunited with director <e2>John Ford</e2> for the film "<e1>The Man Who Shot Liberty Valance</e1>".	WORK_OF_ART	PERSON
director	Iho acted as assistant director to <e2>Andrei Tarkovsky</e2> on the 1979 film "<e1>Stalker</e1>".	WORK_OF_ART	PERSON
director	He had a role in <e2>Clint Eastwood</e2>'s "<e1>Jersey Boys</e1>".	WORK_OF_ART	PERSON
director	The feature film "<e1>Hacksaw Ridge</e1>", based on his life, was produced by Terry Benedict and directed by <e2>Mel Gibson</e2>.	WORK_OF_ART	PERSON
director	<e1>Lessons of Darkness</e1> () is a 1992 film by director <e2>Werner Herzog</e2>.	WORK_OF_ART	PERSON
director	<e1>Weary River</e1> is a 1929 American romantic drama film directed by <e2>Frank Lloyd</e2> and starring Richard Barthelmess, Betty Compson, and William Holden.	WORK_OF_ART	PERSON
director	<e1>The Salvation Army Lass</e1> is a 1909 American silent short drama film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	It is inspired by the movie, <e1>Inception</e1>, directed by <e2>Christopher Nolan</e2>.	WORK_OF_ART	PERSON
director	<e1>Waqt</e1> ( "Vaqt", English: Time) is a 1965 bollywood drama film, directed by <e2>Yash Chopra</e2>.	WORK_OF_ART	PERSON
director	<e1>Goth Kids 3: Dawn of the Posers</e1> was written and directed by series co-creator <e2>Trey Parker</e2>, and was originally scheduled to air on October 16, 2013.	WORK_OF_ART	PERSON
director	<e1>A Woman's Fool</e1> is a 1918 American Western film directed by <e2>John Ford</e2> featuring Harry Carey.	WORK_OF_ART	PERSON
director	<e1>Submarine Patrol</e1> is a 1938 film directed by <e2>John Ford</e2> and starring Richard Greene and Nancy Kelly.	WORK_OF_ART	PERSON
director	Tom states that this piece was obliquely inspired by the films "Solaris" and "<e1>Stalker</e1>" by the Russian director <e2>Andrei Tarkovsky</e2>.	WORK_OF_ART	PERSON
director	He also appeared in a 1992 television remake of the classic film, "<e1>Christmas in Connecticut</e1>" directed by <e2>Arnold Schwarzenegger</e2>.	WORK_OF_ART	PERSON
director	<e1>Fritz and Friederike</e1> () is a 1952 West German comedy film directed by <e2>Géza von Bolváry</e2> and starring Liselotte Pulver, Albert Lieven, and Margarete Haagen.	WORK_OF_ART	PERSON
director	He also appeared in <e2>Eddie Murphy</e2>'s "<e1>Harlem Nights</e1>" (1989).	WORK_OF_ART	PERSON
director	Dave Aron is responsible for mixing all of <e2>Snoop Dogg</e2>'s albums from "Doggystyle, Tha Doggfather, Paid tha Cost to Be da Boss to <e1>Tha Blue Carpet Treatment</e1>".	WORK_OF_ART	PERSON
director	<e1>The White Rose</e1> is a 1923 American silent drama film directed by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	<e1>Seemabaddha</e1> ( "Shimabôddho"; English title: "Company Limited") is a 1971 social drama Bengali film directed by <e2>Satyajit Ray</e2>.	WORK_OF_ART	PERSON
director	<e1>The Deceiver</e1> is a 1931 American pre-Code mystery film directed by <e2>Louis King</e2>.	WORK_OF_ART	PERSON
director	He portrayed Gestapo Inspector Alois Gruber in <e2>Fritz Lang</e2>’s "<e1>Hangmen Also Die!</e1>"	WORK_OF_ART	PERSON
director	<e2>Woody Allen</e2>'s 1991 film "<e1>Shadows and Fog</e1>" is an homage to German and Austrian Expressionist filmmakers Fritz Lang, Georg Wilhelm Pabst and F. W. Murnau.	WORK_OF_ART	PERSON
director	He appeared in <e2>Chris Rock</e2>'s movie "<e1>Top Five</e1>", and starred as Ray Arnett alongside Michael Douglas and Matt Damon in "Behind the Candelabra", which aired on HBO on May 26, 2013.	WORK_OF_ART	PERSON
director	The four formed a new group and called themselves <e1>Eraserhead</e1>s, taking inspiration from the film "Eraserhead" by surrealist director <e2>David Lynch</e2>.	WORK_OF_ART	PERSON
director	In 1996, McEntire was cast by director <e2>James Cameron</e2> as Molly Brown in his film "<e1>Titanic</e1>."	WORK_OF_ART	PERSON
director	The "Review" celebrated its 50th anniversary in 2013, and a <e2>Martin Scorsese</e2> film called "<e1>The 50 Year Argument</e1>" documents the history and influence of the paper.	WORK_OF_ART	PERSON
director	The eventual winner was <e2>Ingmar Bergman</e2>'s revenge drama "<e1>The Virgin Spring</e1>", which represented Sweden.	WORK_OF_ART	PERSON
director	Mayer's opening feature was "<e1>The Birth of a Nation</e1>", by <e2>D. W. Griffith</e2>.	WORK_OF_ART	PERSON
director	She next played Mary Stuart in <e2>John Ford</e2>'s "<e1>Mary of Scotland</e1>" (1936), which met with a similarly poor reception.	WORK_OF_ART	PERSON
director	The 1982 film "<e1>Honkytonk Man</e1>", directed by and starring <e2>Clint Eastwood</e2>, was loosely based on Rodgers' life.	WORK_OF_ART	PERSON
director	In <e2>Frank Lloyd</e2>'s "<e1>Under Two Flags</e1>" (1936), he was in the French Foreign Legion; in Howard Hawks' "The Road to Glory" (1936), a Russian sergeant in World War 1 France.	WORK_OF_ART	PERSON
director	<e1>West Point Widow</e1> is a 1941 American comedy film directed by <e2>Robert Siodmak</e2> and starring Anne Shirley, Richard Carlson and Richard Denning.	WORK_OF_ART	PERSON
director	2010 <e2>Robert Rodriguez</e2> (<e1>Sin City</e1>, Grindhouse)<br>	WORK_OF_ART	PERSON
director	The 1948 film "<e1>Drunken Angel</e1> (Yoidore tenshi)" was the first film directed by <e2>Akira Kurosawa</e2> that Hayasaka composed music for.	WORK_OF_ART	PERSON
director	<e1>Dive Bomber</e1> is a 1941 American aviation film directed by <e2>Michael Curtiz</e2> and starring Errol Flynn and Fred MacMurray.	WORK_OF_ART	PERSON
director	<e1>The Lady from Cheyenne</e1> is a 1941 American comedy western film directed by <e2>Frank Lloyd</e2> and starring Loretta Young, Robert Preston and Edward Arnold.	WORK_OF_ART	PERSON
director	In 2013, he appeared in <e2>Woody Allen</e2>'s "<e1>Blue Jasmine</e1>" and Park Chan-wook's "Stoker."	WORK_OF_ART	PERSON
director	Carey starred in director <e2>John Ford</e2>'s first feature film, "<e1>Straight Shooting</e1>" (1917).	WORK_OF_ART	PERSON
director	He decided to try acting on stage and was cast by <e2>John Ford</e2> in a revival of "<e1>What Price Glory?</e1>".	WORK_OF_ART	PERSON
director	Coates became interested in cinema after seeing "<e1>Wuthering Heights</e1>" (1939) directed by <e2>William Wyler</e2>.	WORK_OF_ART	PERSON
director	The site's critics consensus states: "Though ambitious and confidently directed by <e2>Robert De Niro</e2>, "<e1>The Good Shepherd</e1>" is ultimately a tedious drama that holds few surprises and succumbs to self-seriousness."	WORK_OF_ART	PERSON
director	The <e2>Steven Spielberg</e2>/Warner Brothers movie "<e1>Ready Player One</e1>" released in 2018 is set in The Bottoms.	WORK_OF_ART	PERSON
director	<e1>The Invisible Power</e1> is a 1921 American crime melodrama film directed by <e2>Frank Lloyd</e2> and released by Goldwyn Pictures.	WORK_OF_ART	PERSON
